,genres
46741,Pop
11779,Rock
47903,Electronic
16342,Electronic
33715,Rap
17017,Electronic
45060,Rock
43027,Rock
39294,Rock
37367,Pop
41083,Pop
18350,Pop
37977,Indie
12097,Rock
32483,Electronic
21525,Pop
37514,Electronic
49444,Indie
17120,Electronic
11781,Rock
24007,Indie
26233,Pop
16650,Electronic
529,Rock
36769,Indie
37477,Electronic
2016,Pop
33915,Indie
5486,Pop
44096,Pop
49239,Indie
24858,Pop
38187,Rock
14552,Rock
31008,Indie
30762,Electronic
29916,Electronic
1706,Pop
31236,Rock
22857,Electronic
33127,Electronic
29444,Pop
3312,Pop
29737,Indie
15712,Indie
22485,Electronic
27110,Electronic
51399,Rock
40609,Pop
33997,Electronic
30800,Electronic
1481,Pop
30474,Pop
8844,Indie
37722,Rock
12819,Rock
6183,Pop
21319,Pop
12652,Rock
14479,Rock
20853,Pop
12410,Rock
7345,Electronic
44028,Pop
20386,Rap
45619,Electronic
39701,Rock
17181,Electronic
1434,Pop
33106,Electronic
36164,Rock
29150,Indie
49801,Rock
42161,Indie
42743,Pop
6935,Indie
37052,Electronic
8193,Rock
5727,Pop
2506,Rock
31105,Rock
35290,Indie
6420,Pop
44975,Indie
20011,Rock
9031,Indie
3129,Pop
43984,Pop
43468,Indie
10762,Indie
33830,Indie
665,Rock
50803,Pop
30322,Indie
3529,Pop
2903,Rock
30547,Electronic
15425,Indie
17360,Electronic
9145,Pop
2530,Rock
38231,Rock
26245,Pop
7739,Electronic
27021,Rock
28347,Rock
34587,Pop
18761,Electronic
38698,Electronic
44134,Pop
3006,Rock
37746,Rock
14810,Rock
27870,Pop
40280,Electronic
26418,Rock
3765,Pop
12270,Rock
25123,Electronic
15961,Electronic
7884,Rock
20690,Rap
49918,Electronic
35888,Rock
50763,Pop
42188,Indie
14752,Rock
45314,Rock
47075,Pop
16242,Electronic
41067,Pop
32369,Electronic
18672,Pop
29141,Indie
15803,Electronic
16135,Electronic
5117,Pop
19475,Electronic
38002,Indie
47471,Indie
23098,Electronic
30107,Pop
8897,Indie
15907,Electronic
11098,Indie
4537,Pop
38720,Electronic
41783,Pop
10591,Indie
29844,Electronic
4763,Pop
46162,Rock
33163,Electronic
26807,Indie
41214,Pop
17883,Rock
4430,Pop
18327,Pop
11012,Indie
31865,Rock
47544,Rock
51035,Rap
36515,Pop
2831,Rock
24559,Pop
32626,Rock
25144,Electronic
20399,Rap
47552,Rock
33019,Indie
34954,Indie
24017,Indie
33842,Indie
2510,Rock
46874,Indie
38299,Rock
1469,Pop
43374,Indie
25428,Electronic
47675,Electronic
41870,Pop
1194,Pop
16800,Electronic
37914,Indie
14296,Rock
34622,Pop
48242,Rock
5918,Rock
29598,Electronic
41162,Pop
9552,Electronic
34733,Pop
30937,Indie
5654,Pop
30608,Electronic
51140,Rap
3618,Pop
24563,Pop
36177,Rock
19471,Electronic
48798,Pop
29596,Electronic
2367,Rock
8807,Indie
42142,Rock
43954,Pop
10271,Pop
17464,Electronic
22659,Electronic
27220,Electronic
32182,Rock
5577,Pop
50731,Pop
33547,Pop
25245,Electronic
34241,Electronic
7764,Electronic
2495,Rock
18792,Electronic
18338,Pop
3205,Pop
36740,Indie
48077,Rock
48888,Rap
16730,Electronic
2476,Rock
6329,Pop
14388,Rock
3966,Pop
24822,Pop
8766,Indie
4654,Pop
18696,Pop
20206,Rock
4857,Pop
20911,Pop
16778,Electronic
40517,Pop
43344,Indie
13020,Rock
15053,Rap
9476,Electronic
11680,Rock
18249,Pop
4720,Pop
22559,Electronic
5665,Pop
33400,Pop
46869,Indie
7085,Electronic
48366,Pop
3239,Pop
16983,Electronic
15353,Indie
2586,Rock
44763,Indie
12928,Rock
32776,Indie
14846,Rock
21755,Pop
41798,Pop
11582,Rock
35457,Electronic
33079,Electronic
45033,Rock
4028,Pop
49117,Rap
27084,Rock
35381,Indie
38186,Rock
13267,Rock
23145,Electronic
37545,Pop
44318,Rock
40359,Electronic
49832,Electronic
13813,Indie
29735,Indie
21299,Pop
35926,Rock
46890,Indie
42518,Rock
35434,Electronic
51760,Pop
46479,Pop
25266,Electronic
17551,Electronic
39409,Indie
22595,Electronic
22958,Electronic
39534,Indie
31906,Electronic
24952,Electronic
43777,Pop
5608,Pop
41761,Pop
50061,Rock
15930,Electronic
28912,Indie
16444,Electronic
34354,Electronic
20511,Rap
42407,Electronic
19170,Electronic
35558,Indie
32251,Rock
32800,Indie
35408,Electronic
18545,Pop
39875,Rap
18160,Rock
36894,Electronic
12472,Rock
43820,Pop
45593,Electronic
25891,Pop
12418,Rock
37129,Electronic
43911,Pop
26817,Indie
51767,Pop
29289,Pop
28958,Indie
7580,Electronic
51830,Pop
15671,Indie
30007,Pop
11492,Rock
1647,Pop
29229,Pop
30640,Electronic
32298,Rock
9498,Electronic
26820,Indie
21615,Pop
11142,Indie
9943,Electronic
51690,Pop
9619,Electronic
31772,Rock
43113,Rock
43644,Indie
44641,Rock
25549,Electronic
47,Rap
25931,Pop
46293,Rock
31802,Rock
8569,Rock
28098,Indie
37233,Electronic
38608,Rap
41407,Indie
35319,Indie
37573,Pop
20059,Rock
15506,Indie
5549,Pop
23656,Indie
49319,Indie
51409,Rock
16361,Electronic
10178,Pop
11958,Rock
25437,Electronic
25109,Electronic
19431,Electronic
11741,Rock
50703,Pop
29453,Pop
13945,Indie
10550,Indie
39283,Rock
36016,Indie
38824,Indie
40356,Electronic
4848,Pop
12146,Rock
43508,Indie
27627,Pop
16213,Electronic
3591,Pop
26194,Pop
26847,Indie
21014,Pop
13611,Rock
7325,Electronic
16438,Electronic
20475,Rap
25921,Pop
49952,Electronic
36661,Indie
9475,Electronic
916,Indie
25400,Electronic
47017,Pop
4258,Pop
40895,Rock
22129,Pop
44636,Rock
20017,Rock
3195,Pop
46910,Pop
6018,Rock
41992,Rock
40812,Pop
18909,Electronic
42411,Electronic
49530,Rock
47226,Electronic
15392,Indie
40634,Pop
14458,Rock
905,Indie
17240,Electronic
14839,Rock
32318,Rock
30581,Electronic
23446,Indie
21205,Pop
51956,Rock
44650,Rock
25899,Pop
18361,Pop
37985,Indie
10348,Pop
9317,Pop
29074,Indie
1019,Pop
335,Rock
34625,Pop
9272,Pop
39162,Pop
15465,Indie
17207,Electronic
21721,Pop
48876,Rap
22035,Pop
43334,Indie
23149,Electronic
40192,Electronic
34927,Indie
37847,Indie
44721,Indie
10119,Electronic
26621,Pop
31823,Rock
30530,Electronic
50301,Electronic
35282,Indie
23753,Indie
12373,Rock
30591,Electronic
26553,Electronic
1292,Pop
18947,Electronic
36920,Electronic
34557,Pop
36533,Pop
13399,Rock
3525,Pop
42244,Indie
38761,Electronic
44126,Pop
34380,Electronic
49819,Electronic
50878,Rock
25060,Electronic
41138,Pop
22954,Electronic
28994,Indie
26889,Indie
27090,Rock
14081,Indie
10958,Indie
41974,Rock
1572,Pop
44303,Rock
2212,Rock
43460,Indie
25190,Electronic
39876,Rap
15766,Electronic
51450,Rock
46585,Pop
45572,Electronic
39125,Pop
7058,Indie
43731,Rock
6236,Pop
43428,Indie
14593,Rock
26839,Indie
22578,Electronic
36868,Rock
23168,Electronic
26580,Electronic
16387,Electronic
48487,Indie
31544,Rock
24661,Pop
49221,Indie
7174,Electronic
18136,Rock
12297,Rock
18102,Rock
13364,Rock
41435,Indie
17220,Electronic
35961,Rock
47750,Electronic
20854,Pop
50460,Rock
32449,Electronic
426,Rock
3702,Pop
5647,Pop
20254,Rap
3912,Pop
47336,Indie
31289,Rock
34565,Pop
27848,Pop
5230,Pop
49949,Electronic
37867,Indie
45754,Indie
37606,Electronic
31796,Rock
17979,Rock
17351,Electronic
48619,Indie
19947,Rock
13045,Rock
1062,Pop
30305,Indie
14304,Rock
25835,Electronic
44583,Rock
32018,Indie
38548,Rap
38025,Indie
21199,Pop
21240,Pop
30784,Electronic
46127,Pop
9573,Electronic
12679,Rock
16728,Electronic
23125,Electronic
47943,Electronic
22074,Pop
14708,Rock
3373,Pop
44553,Rock
36778,Indie
44589,Rock
31174,Rock
40538,Pop
18802,Electronic
21181,Pop
24530,Pop
43453,Indie
10810,Indie
35649,Indie
7016,Indie
18063,Rock
5374,Pop
30567,Electronic
42947,Indie
51391,Rock
21865,Pop
8504,Rock
389,Rock
15744,Indie
25180,Electronic
18446,Pop
30301,Indie
15304,Indie
1368,Pop
45476,Pop
16675,Indie
5890,Rock
26026,Pop
17678,Rock
47697,Electronic
44339,Rock
30342,Indie
10654,Indie
40002,Rock
18440,Pop
40159,Electronic
43087,Rock
38362,Rock
45223,Pop
11494,Rock
48506,Indie
11529,Rock
45948,Indie
47393,Indie
49636,Indie
27822,Pop
33634,Rap
35594,Indie
33152,Electronic
43257,Rock
49244,Indie
28715,Electronic
39419,Indie
18537,Pop
9844,Electronic
13429,Rock
296,Rap
14406,Rock
10207,Pop
9855,Electronic
37321,Pop
22380,Electronic
3320,Pop
45279,Rock
24769,Pop
39011,Rock
40876,Rock
35101,Pop
46995,Pop
6724,Indie
40849,Pop
10754,Indie
6595,Pop
26216,Pop
12314,Rock
606,Rock
19824,Rock
44862,Indie
8344,Rock
43938,Pop
18144,Rock
36411,Pop
10418,Pop
3938,Pop
36233,Rock
12038,Rock
27567,Pop
40251,Electronic
47778,Electronic
44410,Indie
8965,Indie
51390,Rock
42860,Indie
33524,Pop
34223,Electronic
45074,Rock
4605,Pop
12590,Rock
45001,Rock
35314,Indie
30904,Electronic
12539,Rock
34756,Pop
48936,Rap
26174,Pop
40054,Rock
21497,Pop
43779,Pop
27852,Pop
23850,Indie
10816,Indie
15313,Indie
17845,Rock
31340,Pop
1134,Pop
35376,Indie
42301,Indie
34412,Electronic
18628,Pop
2198,Rock
45152,Rock
44543,Indie
46830,Indie
3203,Pop
26604,Pop
37870,Indie
34431,Indie
44751,Indie
45510,Pop
41614,Rock
6192,Pop
31565,Rock
36005,Indie
21010,Pop
8020,Rock
51191,Rap
26667,Pop
16736,Electronic
33798,Indie
19594,Rock
392,Rock
34776,Pop
12603,Rock
9090,Indie
19038,Electronic
16838,Electronic
48011,Electronic
5216,Pop
32842,Indie
40701,Pop
16480,Electronic
49119,Rap
44423,Indie
17273,Electronic
26103,Pop
11729,Rock
34266,Electronic
2059,Pop
16395,Electronic
38961,Rock
6482,Pop
6282,Pop
38751,Electronic
50253,Rock
36402,Pop
35592,Indie
48121,Rock
38313,Rock
18571,Pop
37021,Electronic
15723,Indie
35610,Indie
2516,Rock
39190,Rock
9333,Pop
27893,Pop
2113,Pop
37883,Indie
3144,Pop
43225,Rock
43214,Rock
39307,Rock
27526,Pop
41649,Pop
9607,Electronic
50870,Rock
18228,Pop
50806,Pop
1666,Pop
45504,Pop
19368,Electronic
17314,Electronic
19545,Rock
27398,Rock
35966,Rock
37006,Electronic
44915,Indie
218,Rap
6829,Indie
11604,Rock
42120,Rock
23219,Electronic
42358,Electronic
534,Rock
9820,Electronic
12504,Rock
31631,Rock
8983,Indie
12169,Rock
45876,Indie
2786,Rock
27705,Pop
34709,Pop
10902,Indie
322,Rock
33767,Indie
39473,Indie
28443,Indie
25447,Electronic
12034,Rock
5164,Pop
21719,Pop
29900,Electronic
21537,Pop
44029,Pop
30264,Electronic
24794,Pop
50390,Electronic
32688,Indie
42388,Electronic
1895,Pop
18288,Pop
22290,Pop
5084,Pop
20764,Pop
47085,Pop
48662,Indie
12871,Rock
865,Rock
40775,Pop
16331,Electronic
17575,Electronic
44740,Indie
10949,Indie
40488,Pop
39631,Rock
26092,Pop
48687,Indie
2817,Rock
3089,Pop
7735,Electronic
4891,Pop
32436,Electronic
42706,Pop
11255,Indie
2394,Rock
4253,Pop
43286,Rock
3088,Pop
17841,Rock
49604,Rock
27478,Pop
18884,Electronic
19998,Rock
9140,Pop
22246,Pop
23070,Electronic
36474,Pop
4560,Pop
14497,Rock
48298,Rock
29720,Indie
14091,Indie
817,Rock
43182,Rock
21032,Pop
38668,Electronic
158,Rap
8558,Rock
36654,Indie
7010,Indie
51809,Pop
44148,Pop
4019,Pop
38003,Indie
23543,Indie
2881,Rock
38319,Rock
923,Indie
5077,Pop
36261,Rock
34744,Pop
2022,Pop
8938,Indie
93,Rap
36875,Electronic
20048,Rock
15035,Rap
7378,Electronic
41476,Rock
41135,Pop
39437,Indie
7216,Electronic
20669,Rap
33605,Rap
6079,Rock
21548,Pop
3652,Pop
9713,Electronic
50176,Rock
42315,Electronic
2599,Rock
36036,Indie
29279,Pop
704,Rock
27187,Electronic
6801,Indie
41752,Pop
25543,Electronic
43586,Indie
9292,Pop
19383,Electronic
28137,Indie
29556,Electronic
19923,Rock
26239,Pop
26585,Pop
8944,Indie
22780,Electronic
43909,Pop
37889,Indie
50360,Electronic
43004,Indie
37511,Electronic
22569,Electronic
12485,Rock
13140,Rock
4749,Pop
49234,Indie
9616,Electronic
37996,Indie
30853,Electronic
47208,Electronic
9589,Electronic
17004,Electronic
8488,Rock
6388,Pop
21536,Pop
7221,Electronic
30991,Indie
3414,Pop
51377,Rock
28140,Indie
32250,Rock
36607,Rap
4926,Pop
12346,Rock
37884,Indie
24045,Indie
48355,Pop
49322,Indie
863,Rock
36089,Rock
10759,Indie
49101,Rap
37896,Indie
15264,Indie
25568,Electronic
50385,Electronic
10916,Indie
40603,Pop
45153,Rock
22146,Pop
35384,Indie
49606,Rock
13439,Rock
37290,Pop
39736,Rock
18,Rap
49511,Rock
14122,Indie
30331,Indie
40602,Pop
29089,Indie
23114,Electronic
6368,Pop
27042,Rock
30228,Electronic
19297,Electronic
403,Rock
28008,Electronic
29320,Pop
28534,Rock
26129,Pop
33132,Electronic
50022,Pop
29911,Electronic
39254,Rock
26017,Pop
44117,Pop
975,Pop
44914,Indie
36517,Pop
40566,Pop
47121,Electronic
34630,Pop
2589,Rock
29778,Indie
46220,Rock
9166,Pop
12184,Rock
34047,Electronic
9516,Electronic
31004,Indie
2496,Rock
33470,Pop
6977,Indie
43467,Indie
48086,Rock
51633,Rap
44477,Indie
47381,Indie
9668,Electronic
14744,Rock
49571,Rock
49177,Indie
18874,Electronic
11165,Indie
51888,Pop
48208,Rock
19097,Electronic
13567,Rock
42078,Rock
5460,Pop
13362,Rock
36305,Rock
38870,Indie
25721,Electronic
20339,Rap
46920,Pop
3245,Pop
50742,Pop
47388,Indie
23960,Indie
14758,Rock
45519,Pop
48974,Rap
2490,Rock
993,Pop
46024,Indie
22516,Electronic
51251,Rap
41899,Pop
10863,Indie
6979,Indie
24024,Indie
41311,Pop
21254,Pop
47236,Electronic
29750,Indie
4913,Pop
16344,Electronic
33622,Rap
25197,Electronic
17920,Rock
20003,Rock
47776,Electronic
7153,Electronic
33646,Rap
31638,Rock
50033,Rock
40069,Rock
32774,Indie
29533,Rock
29633,Electronic
50085,Rock
40951,Rock
2267,Rock
34789,Pop
40729,Pop
33125,Electronic
14850,Rock
7170,Electronic
16472,Electronic
15305,Indie
7612,Electronic
7602,Electronic
8076,Rock
41272,Pop
43659,Indie
35410,Electronic
17337,Electronic
24604,Pop
18974,Electronic
30749,Indie
588,Rock
13787,Indie
40803,Pop
6707,Pop
6983,Indie
47292,Indie
3479,Pop
37286,Pop
15994,Electronic
10320,Pop
41716,Pop
32237,Rock
41963,Rock
39897,Rap
44968,Indie
41387,Indie
10136,Pop
1208,Pop
17276,Electronic
20936,Pop
2203,Rock
20308,Rap
36106,Rock
12691,Rock
30165,Electronic
30918,Indie
37657,Electronic
18897,Electronic
32303,Rock
26068,Pop
36635,Rap
51642,Rap
1956,Pop
36613,Rap
31352,Pop
49235,Indie
32732,Indie
42112,Rock
22178,Pop
48271,Rock
48845,Pop
19880,Rock
3822,Pop
10890,Indie
32747,Indie
24612,Pop
14699,Rock
32469,Electronic
24502,Pop
35746,Pop
15308,Indie
24158,Indie
40338,Electronic
29716,Indie
50387,Electronic
10665,Indie
41427,Indie
25381,Electronic
4532,Pop
16347,Electronic
11130,Indie
41977,Rock
34127,Rock
32651,Rock
36325,Rock
32372,Electronic
12479,Rock
27133,Electronic
28863,Indie
34484,Indie
40171,Electronic
20627,Rap
25401,Electronic
50352,Electronic
14797,Rock
5844,Pop
34473,Indie
38415,Rock
7859,Rock
3527,Pop
6753,Indie
31676,Rock
17835,Rock
15927,Electronic
27951,Electronic
24438,Pop
10763,Indie
3497,Pop
2175,Pop
44548,Indie
46054,Indie
49732,Indie
25169,Electronic
40526,Pop
7311,Electronic
35527,Indie
30127,Pop
42695,Pop
9953,Electronic
23764,Indie
49057,Rap
13970,Indie
17161,Electronic
39041,Rock
50506,Rock
9681,Electronic
26243,Pop
38388,Rock
29353,Pop
40766,Pop
10683,Indie
17329,Electronic
44027,Pop
45834,Indie
22854,Electronic
43582,Indie
23205,Electronic
25967,Pop
34836,Pop
42564,Rock
43459,Indie
17910,Rock
11841,Rock
42575,Rock
19095,Electronic
42197,Indie
165,Rap
3283,Pop
27117,Electronic
44507,Indie
31141,Rock
7416,Electronic
6658,Pop
4055,Pop
19158,Electronic
28663,Rock
35919,Rock
8515,Rock
8924,Indie
17576,Electronic
19269,Electronic
14423,Rock
3103,Pop
40047,Rock
34479,Indie
41802,Pop
17704,Rock
28424,Rock
33747,Rap
35353,Indie
5329,Pop
43560,Indie
42587,Rock
21011,Pop
37491,Electronic
47676,Electronic
15161,Rap
26149,Pop
47127,Electronic
49590,Rock
47237,Electronic
36510,Pop
8542,Rock
11996,Rock
27597,Pop
23046,Electronic
4617,Pop
14426,Rock
15590,Indie
31186,Rock
13782,Indie
8775,Indie
42521,Rock
16241,Electronic
25753,Electronic
36623,Rap
32120,Indie
5100,Pop
3134,Pop
44228,Rock
43875,Pop
35373,Indie
18325,Pop
20024,Rock
23042,Electronic
3739,Pop
8745,Indie
51206,Rap
21247,Pop
50300,Rock
6892,Indie
9457,Electronic
32041,Indie
51366,Rock
42456,Electronic
5742,Pop
8358,Rock
8397,Rock
22853,Electronic
9343,Pop
7786,Rock
45874,Indie
17020,Electronic
8772,Indie
49006,Rap
28473,Indie
16781,Electronic
30765,Electronic
33633,Rap
27068,Rock
50405,Rock
13342,Rock
38499,Rock
23550,Indie
16702,Electronic
17720,Rock
32664,Rock
3731,Pop
4256,Pop
50762,Pop
2190,Rock
24235,Pop
29888,Electronic
47842,Electronic
2893,Rock
30664,Electronic
4678,Pop
31025,Indie
16866,Electronic
24036,Indie
12296,Rock
8791,Indie
28215,Indie
29854,Electronic
39767,Rap
14263,Rock
50388,Electronic
51772,Pop
43267,Rock
21069,Pop
44624,Rock
24486,Pop
15413,Indie
48401,Pop
46304,Rock
32434,Electronic
24077,Indie
51427,Rock
15069,Rap
48688,Indie
10299,Pop
14432,Rock
49647,Indie
30878,Electronic
21233,Pop
34027,Electronic
19624,Rock
48034,Rock
31378,Pop
44187,Pop
16105,Electronic
48714,Indie
31308,Rock
31137,Rock
5624,Pop
3882,Pop
10203,Pop
5526,Pop
11641,Rock
8452,Rock
42935,Indie
44880,Indie
31180,Rock
34378,Electronic
39408,Indie
17043,Electronic
46570,Pop
9669,Electronic
43816,Pop
9428,Electronic
20302,Rap
21414,Pop
8084,Rock
29561,Electronic
22876,Electronic
4737,Pop
879,Rock
37203,Electronic
47849,Electronic
42861,Indie
13597,Rock
19410,Electronic
29641,Electronic
4997,Pop
34685,Pop
27522,Pop
6103,Pop
23602,Indie
23141,Electronic
22025,Pop
31503,Rap
19709,Rock
31933,Electronic
16631,Electronic
45620,Electronic
12963,Rock
23574,Indie
9608,Electronic
3905,Pop
38667,Electronic
5079,Pop
25431,Electronic
42213,Indie
27200,Electronic
34829,Pop
38572,Rap
43480,Indie
3866,Pop
40162,Electronic
51525,Rock
40715,Pop
24627,Pop
22316,Pop
26802,Indie
10252,Pop
38271,Rock
2821,Rock
51751,Pop
16045,Electronic
12994,Rock
40383,Electronic
45773,Indie
25494,Electronic
2211,Rock
7223,Electronic
33991,Electronic
3914,Pop
44107,Pop
1492,Pop
19892,Rock
49851,Electronic
21720,Pop
11508,Rock
13748,Indie
17180,Electronic
14532,Rock
45179,Pop
8408,Rock
3257,Pop
49882,Electronic
21353,Pop
5823,Pop
45428,Pop
19608,Rock
13836,Indie
51411,Rock
32930,Indie
41198,Pop
9627,Electronic
6641,Pop
26488,Electronic
35375,Indie
45994,Indie
43776,Pop
12674,Rock
4220,Pop
38425,Rock
29225,Pop
48226,Rock
35916,Rock
39094,Pop
22879,Electronic
42857,Indie
8749,Indie
6620,Pop
42579,Rock
44813,Indie
42290,Indie
27188,Electronic
41751,Pop
37478,Electronic
1023,Pop
26442,Rock
37134,Electronic
21332,Pop
35602,Indie
30001,Pop
22921,Electronic
37790,Rock
15915,Electronic
49853,Electronic
1436,Pop
13058,Rock
25483,Electronic
45547,Electronic
31506,Rap
1954,Pop
37781,Rock
23221,Electronic
40114,Electronic
25663,Electronic
781,Rock
11263,Indie
45556,Electronic
29373,Pop
2226,Rock
10680,Indie
804,Rock
9280,Pop
27678,Pop
3494,Pop
36066,Indie
16775,Electronic
17790,Rock
23469,Indie
20312,Rap
5221,Pop
11096,Indie
9420,Electronic
9370,Electronic
17021,Electronic
44642,Rock
9305,Pop
46831,Indie
3152,Pop
48558,Indie
5489,Pop
7405,Electronic
7557,Electronic
49263,Indie
20730,Rap
12492,Rock
1627,Pop
11141,Indie
23147,Electronic
30433,Pop
32621,Rock
31467,Rap
45708,Indie
47070,Pop
33460,Pop
28189,Indie
3070,Rock
41922,Pop
40107,Electronic
13858,Indie
33006,Indie
42729,Pop
22291,Pop
4755,Pop
45297,Rock
50984,Rock
40262,Electronic
6934,Indie
15013,Rap
47258,Electronic
27264,Electronic
37280,Pop
5176,Pop
39797,Rap
39116,Pop
30650,Electronic
18503,Pop
51470,Rock
48083,Rock
22231,Pop
27654,Pop
34071,Rock
40904,Rock
3023,Rock
9725,Electronic
4587,Pop
9529,Electronic
3668,Pop
17048,Electronic
16086,Electronic
15758,Indie
39457,Indie
43483,Indie
6902,Indie
20134,Rock
24341,Pop
14226,Pop
30520,Pop
8973,Indie
43217,Rock
2882,Rock
5354,Pop
22521,Electronic
38736,Electronic
24948,Electronic
26084,Pop
43322,Indie
20814,Pop
6558,Pop
8584,Rock
40547,Pop
23959,Indie
15960,Electronic
50825,Rock
22735,Electronic
30283,Electronic
30252,Electronic
42068,Rock
39465,Indie
43922,Pop
11953,Rock
5188,Pop
45182,Pop
33323,Rock
36520,Pop
41593,Rock
30583,Electronic
11306,Indie
25498,Electronic
21987,Pop
17850,Rock
43879,Pop
19617,Rock
36739,Indie
49742,Rock
9858,Electronic
8390,Rock
20967,Pop
30116,Pop
12991,Rock
34819,Pop
44515,Indie
49746,Rock
47456,Indie
1765,Pop
9954,Electronic
27347,Rock
556,Rock
41003,Rock
12022,Rock
35219,Indie
27469,Pop
42145,Indie
13156,Rock
12388,Rock
19885,Rock
35559,Indie
46757,Pop
44294,Rock
